QUEST_20150317_000001	Please select the user requiring a quest update.	Pilih user untuk memodifikasi quest.
QUEST_20150714_002168	Since I've already made the rubbing, I'll give it to the person who wants it.	Karena aku telah membuat salinannya, Aku akan memberikannya kepada orang yang mencarinya.
QUEST_20150714_002169	Copy of Prediction	Salinan dari Prediksi
QUEST_20150714_002170	Death begets death.	Kematian akan membawah lebih banyak kematian
QUEST_20150714_002171	I am busy right now. We better do it later.	Aku sibuk sekarang jadi nanti saja.
QUEST_20150714_002172	Ah, you're the one Adrijus sent. {nl}I've obtained the diluting solution he ordered. {nl}Be careful not to break the glass.	Ah, kamu adalah orang yang dikirim Adrius.{nl}Aku mendapatkan Diluting solution yang kamu minta.{nl}Hati-hati jangan sampai pecah.
QUEST_20150714_002173	One glass of diluting solution will be enough.	Satu gelas dari Diluting solution sudah cukup.
QUEST_20150714_002174	Epitaph of Juan	Epitaph tentang Juan
QUEST_20150714_002175	I lie here without yet creating thirteen thousand pieces of armor. {nl}I hope to finish them alongside the goddesses.	Terbaring disini tanpa menyelesaikan tiga belas ribu armor.{nl}Aku harap aku bisa menyelesaikannya di sisi Goddess .
QUEST_20150714_002176	I can hear a whisper in my head.	Aku bisa mendengar bisikan kecil di telingaku.
QUEST_20150714_002177	Please install the device I gave you in the 2nd district of Crystal Mine.	Tolong pasang device yang aku berikan pada 2nd district di Crystal Mine.
QUEST_20150714_002178	The location is Sidabro Rest Place in Vejo Ravine. {nl}I hope he's still alive.	Lokasi dari Sidabras rest area di Veya Valley.{nl}Aku harap dia masih hidup.
QUEST_20150714_002179	Klaipeda Market	Klaipeda Market
QUEST_20150714_002180	Give me the effigy. I shall calm the spirits.	Berikan aku effigy. Aku akan coba menenangkan spirits.
QUEST_20150714_002181	The monsters will feel threatened by the energies that spurt out from the crystals {nl}containing my authority and begin their attack.	Para monster akan merasa terancam karena energi yang keluar dari crystals yang menyimpan kekuatanku dan mulai menyerang.{nl}
QUEST_20150714_002182	Please protect the crystals so that they may produce my authority, {nl}and spread it to Sirdgela Forest.	Tolong lindungi crystals jadi kekuatanku yang ada di dalam crystals dapat menyebar ke Sirudgellar Forest.
QUEST_20150714_002183	You prepared this, brother? You're truly a great man.	Kakak, apakah kamu yang menyiapkan semua ini? Kamu sangat hebat.
QUEST_20150714_002184	I can sense the wrath of the spirits.	Aku bisa merasakan amarah dari spirits
QUEST_20150714_002185	Incense Burner	Incense Burner
QUEST_20150714_002186	The scent of the incense is spreading from the Incense Burner.	Aroma dari Incense Burner mulai menyebar.
QUEST_20150714_002187	I can feel the spirits wailing.	Aku dapat merasakan spirits yang mengeluh.
QUEST_20150714_002188	I can feel the pain of the spirits.	Aku dapat merasakan penderitaan para spirits.
QUEST_20150714_002189	I can feel the regrets of the spirits.	Aku dapat merasakan penyesalan para spirits.
QUEST_20150714_002190	The seal is not yet ready? {nl}It pains me so that you are the only one I can trust.	Seal belum siap?{nl}Aku sedang merasakan sakit yang luar biasa tapi hanya kamu yang kupercaya.
QUEST_20150714_002191	Can you lay the villagers' spirits to rest in peace?	Bisakah kamu menyelesaikan komplain para villagers' spirits of Seven Valley?
QUEST_20150714_002192	The Basics of Ignition	Dasar dari Ignition
QUEST_20150714_002193	Ignition differs by elements, but with the blessing from the goddess, there may be cases where we can ignore that. {nl}To do so, we should try hard to achieve the scholarly knowledge and the faithfulness to the goddesses.	Ignition terbagi berdasarkan element, tapi karena berkat dari Goddess , kita tidak perlu memikirkannya.{nl}Supaya bisa berhasil, kita harus berusaha keras dan mencapai Scholarly knowledge dan kepercayaan kepada Goddess .
QUEST_20150714_002194	1. Dried environment{nl}2. Something that can be ridden on. {nl}3. Enough mana. {nl}4. The blessing of the goddesses.	1. Lingkungan yang kering{nl}2. Sesuatu yang sudah lapuk.{nl}3. Mana yang cukup{nl}4. Berkat dari Goddesses
QUEST_20150714_002195	Flurry... turned into a handful of ashes by illuminating a great light. {nl}Did that demon do something? {nl}I had no idea, being a mere probationary wizard.	Flurry?Dia menghilang menjadi abu saat mencoba mengeluarkan kekuatan cahaya yang hebat.{nl}Apakah itu karena Demon? {nl}Aku tidak tahu begitu banyak karena aku wizard pemula.{nl}
QUEST_20150714_002196	[Caution]{nl}- It is the last stage of the experiment. Be cautious when handling it -	[Perhatian]{nl}- Ini adalah tingkat terakhir dari eksperimen. Berhati-hatilah saat mencobanya -
QUEST_20150714_002197	1. Do not overreact Schilt Essences into a sample of Petrification Detector. {nl}2. Do not keep the Schilt Amplifier activated for a long time. {nl}3. Even if you become immune to petrification using the Schilt Amplifier, it will only be temporary, so do not stay in the lab room for too long.	1. Jangan menggunakan reaksi berlebihan pada Schilt Essences ke dalam sample of Petrification Detector.{nl}2. Jangan mengaktifkan Schilt amplifier dalam waktu yang lama.{nl}3. Meskipun kami menjadi immun terhadap Petrification by Schilt amplifier, itu hanya berlangsung sementara jadi jangan terlalu lama berada di lab.
QUEST_20150714_002198	[Usage Limit]{nl}- Due to a recent incident, we sealed the isolated lab room. {nl}Only people permitted by the chief can enter the room via the portal.	[Terbatas]{nl}- Karena kecelakaan sebelumnya, kami menyegel isolated lab room. {nl}Hanya orang yang diizinkan oleh chief yang dapat masuk ke ruangan lewat portal.
QUEST_20150714_002199	[Method of Usage]{nl}1. Use the Schilt Essences on the portal generator. {nl}2. One person can enter after a certain number of Essences are used. {nl}3. When more than one person enters simultaneously, please notify and ask the chief.	[Metode Penggunaan]{nl}1. Gunakan Schilt Essences ke portal generator.{nl}2. Satu orang bisa masuk jika sejumlah Essences digunakan.{nl}3. Jika bersama lebih dari satu orang, hubungi chief.
QUEST_20150714_002200	Petrification in Progress	Petrification sedang berlangsung
QUEST_20150714_002201	My body is becoming stiff.	Tubuhku menjadi kaku
QUEST_20150714_002202	We can move faster.	Kita dapat bergerak lebih cepat.
QUEST_20150714_002203	We tried our best to impede them until your arrival. {nl}But as you can see, we're at our limit.	Kami sudah berusaha sebaik mungkin menghalangi mereka saat menunggumu. {nl}Namun seperti yang kamu lihat, kami sudah tidak mampu lagi.
QUEST_20150714_002204	I've received your letter. {nl}Now is the chance the goddesses gave to you since Legwyn is dead. {nl}It's great to hear that the lads of the Legwyn family trust you.	Aku telah menerima suratmu.{nl}Ini adalah saatnya dimana Goddesses mengutusmu semenjak kematian Legwyn.{nl}Sangat beruntung karena kerabat dan keluarga Legwyn mempercayaimu.{nl}
QUEST_20150714_002205	I've changed the name on this certificate for you so return the rest of documents to me. {nl}I guarantee either his assets or his land document. {nl}Please pay me the deposit as you did last time.	Aku telah mengganti nama pada certificate untukmu jadi berikan sisa dokumen kepadaku.{nl}Aku akan menjamin aset miliknya atau surat tanahnya.{nl}Silahkan bayar padaku depost seperti waktu itu.{nl}
QUEST_20150714_002206	Anyone under the Legwyn name can't be left alive. Even their servants. {nl}Please, get rid of Legwyn's daughter. She is the Squire Master.	Semua dengan nama Legwyn, tidak boleh hidup. Bahkan pesuruhnya.{nl}Tolong kalahkan anak perempuan Legwyn yang seorang Squire Master.
QUEST_20150714_002207	Mysterious Man	Orang Mencurigakan
QUEST_20150714_002208	It seems that you don't have a problem moving your body. {nl}You almost got into deep trouble.	Sepertinya kamu tidak punya kesulitan menggerakkan tubuhmu.{nl}Kamu hampir saja terjebak masalah besar.
QUEST_20150714_002209	Ah, I am Mintz. I lead the Hunters. {nl}If it's fine with you, I want to have a talk at my camp at Dumvala Crossroads.	Ah, Aku di panggil Mints. Aku memimpin para hunter.{nl}Jika kamu baik-baik saja, aku ingin mengajakmu ke camp yang terletak di Dumbala Intersections.
QUEST_20150714_002210	For now, there is no way to help the patient.	Saat ini, tidak ada cara untuk menolong pasien.
QUEST_20150714_002211	Have you tried giving the antidote?	Apakah kamu sudah memberikannya antidote?
QUEST_20150714_002212	Please go to Viltis Forest after persuading the senior monk.	Setelah membujuk senior monk, tolong pergi ke Viltis Forest.
QUEST_20150714_002213	Thanks! {nl}I ran away without noticing my bag was ripped by the thorns.	Terima kasih!{nl}Aku berlari tanpa tersadar tas ku robek terkena semak belukar.
QUEST_20150714_002214	We ran away from Laukyme Swamp. {nl}When you find the pages of the documents from Ershike Path to Dumvala Crossroads, {nl}please bring them to me.	Kami lari dari Raukime Swamp.{nl}Saat kamu menemukan halaman dokumen dari Ershike Trail ke Dumbala Intersections, tolong bawakan padaku.
QUEST_20150714_002215	No. That cannot be done. {nl}I don't have anything more to say about the expulsion, {nl}until I retake the monastery and save the abbot.	Itu tidak dapat terjadi.{nl}Aku tidak bisa mengatakan apapun tentang expulsion sebelum aku mendapatkan kembali monastery dan menyelamatkan director.
QUEST_20150714_002216	What? You're going with the Hunters? {nl}Well... I don't approve, but I guess I can't do anything about it.{nl}Since Marko told you that he'd go with them... Okay.	Apa? Kamu akan pergi dengan para Hunter?{nl}Hmm, Aku tidak setuju sebenarnya. Tapi, sepertinya aku tidak berbuat apa-apa sejak Marko bilang akan pergi dengan mereka?Oke.
QUEST_20150714_002217	Are you going to retake the monastery with the Hunters?{nl}That's good news, but I guess that means Marko changed his mind, huh?	Apakah kamu ingin merebut kembali monastery dengan para hunter?{nl}Itu berita bagus, tapi perkiraanku pasti Marko berubah pikiran bukan?
QUEST_20150714_002218	I'm worried about the abbot of the monastery who should be at the prayer room. {nl}I don't know if the Hunters can be trusted...	Aku khawatir akan chief of the monastery yang ada di prayer room.{nl}Aku tidak tahu apakah para hunter bisa dipercaya?
QUEST_20150714_002219	I don't know if it's going to be okay. {nl}It feels like the outsiders are swinging us around... {nl}I know Marko is clever, so we should trust him.	Aku tidak tahu kalau semua akan baik-baik saja.{nl}Rasanya seperti orang luar yang memperdaya kita?Baiklah, Aku tahu Marko itu kamu dan aku percaya padanya.
QUEST_20150714_002220	At any rate, we will trust Marko's orders. {nl}It's good that we've got reliable reinforcements now.	Lagipula, kita harus percaya dengan perintah Marko.{nl}Bagus jika kita mempunyai pasukan yang bisa diandalkan.
QUEST_20150714_002221	Also, it's important to retake the monastery as soon as possible. {nl}The safety of the monastery's is critical.	Dan, sangat penting untuk merebut kembali monastery secepatnya.{nl}Keselamatan dari chief of the monastery adalah yang paling penting.
QUEST_20150714_002222	Unknown traveler. Falls down under the nameless poison.{nl}Now, stop this journey and rest in peace in the arms of the goddesses.	Pengelana tanpa identitas. Tumbang akibat racun yang tidak diketahui.{nl}Sekarang berhenti berkelana dan istirahat dengan damai atas nama Goddess .
QUEST_20150714_002223	Biblam the Farmer. {nl}He, who took care of his neighbors more than himself, rests here.	Sang petani, Biblam yang sangat peduli kepada orang lain ketimbang dirinya sendiri.{nl}Tidur disini.
QUEST_20150714_002224	I'm going to go to the arms of you who I longed for for a long time. {nl}With your bow and dagger. {nl}{nl}From, {nl}Siana.	Aku akan pergi ke tempat dimana aku telah menunggumu dalam waktu yang lama.{nl}Dengan bow dan dagger milikmu. Dari Siana.
QUEST_20150714_002225	The young tailor, Godan, who was born in Fedimian, rests in the Tilda Monastery.	Sang Tailor muda Godan yang lahir di Fedimian.{nl}Tidur didalam Tilda Monastery.{nl}
QUEST_20150714_002226	Mighty goddess. {nl}I am finally free. {nl} - Tenant Farmer Tila	Goddess yang kuat.{nl}Akhirnya aku bebas. {nl}- Tenant Farmer Tila
QUEST_20150714_002227	Thank you. {nl}If their number could be reduced by even a bit, I'd feel more relaxed.	Terima kasih.{nl}Jika jumlah mereka bisa dikurangin, Aku bisa merasa lebih lega.
QUEST_20150714_002228	Thanks. {nl}If you see any bubble that spurts out air, it means that there are spiny water chestnuts. {nl}Please bring me the roots of those.	Terima kasih.{nl}Jika kamu melihat ada gelembung udara yang keluar, berarti terdapat spiney water chestnuts.{nl}Tolong bawakan akar dari tanaman itu.
QUEST_20150714_002229	Really? {nl}If you can help me, I'll do anything I can.	Benarkah?{nl}Jika kamu bisa membantuku, Aku akan melakukan apapun yang kubisa.
QUEST_20150714_002230	We've retaken the hall. {nl}Let's keep moving forward!	Kita telah merebut bagian Hall.{nl}Terus lanjutkan!
QUEST_20150714_002231	Quickly, let's save the abbot!	Cepat selamatkan chief!
